name,functions,color,precision,company,productURL,photoURL,oversampling,favorite,rating,status,"notes"
Addictive Drums 2,/Instruments,/Vintage ('60's & Earlier)/70's/80's/Modern,/Vibey Analog,XLN Audio,https://www.xlnaudio.com/products/addictive_drums_2,https://assets.xlnaudio.com/pages/addictive_drums/new/Hero-United-Heavy-1600px.jpg,false,true,5,Active,"Addictive%20Drums%202%20is%20a%20software%20drum%20production%20studio%20featuring%20professionally%20recorded%20acoustic%20drums,%20live%20rhythm%20performances%20and%20high%20quality%20built%20in%20effects."
AERO AMP,/Audio Effects/Filter/Amp Sim,/Vintage ('60's & Earlier)/70's/80's/Modern,/Vibey Analog,Acoustica Audio,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/152/original/Aero_Stomp_teaser_001.png?1654007938,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/149/original/Aero_Amp_teaser_001.png?1654007935,false,-,3,Active,"-"
AERO STOMP,/Audio Effects/Distortion/Amp Sim,/Vintage ('60's & Earlier)/70's/80's/Modern,/Vibey Analog,Acoustica Audio,https://www.acustica-audio.com/store/products/aerovolumea,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/149/original/Aero_Amp_teaser_001.png?1654007935,false,-,3,Active,"-"
AMBER COMP,/Audio Effects/Filter/Compressor/Limiter/Harmonics/Preamp Sim,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,https://www.acustica-audio.com/spree/products/1296/original/Amber3_COMP_teaser_001.png?1551277873,false,true,5,Active,"-"
AMBER EQ,/Audio Effects/EQ/Filter/Harmonics/Mid-Side Processing/Preamp Sim,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,https://www.acustica-audio.com/spree/products/1300/original/Amber3_EQ_Stereo_teaser_001.png?1551350766,false,true,5,Active,"-"
AMBER PRE,/Audio Effects/Filter/Harmonics/Preamp Sim,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,https://www.acustica-audio.com/spree/products/1299/original/Amber3_PRE_teasers_001.png?1551277933,false,true,5,Active,"-"
AMBER STRIP,/Audio Effects/EQ/Filter/Compressor/Harmonics/Mid-Side Processing/Preamp Sim/Channel Strip,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,https://www.acustica-audio.com/spree/products/1295/original/Amber3_Channelstrip_teaser_001.png?1551277856,false,true,5,Active,"-"
AMEK 9099,/Audio Effects/EQ/Compressor/Gate & Expander/Harmonics/Pan^ Stereo & Mono/Mid-Side Processing/Preamp Sim/Channel Strip,/70's/80's/Modern,/Vibey Analog,Brainworx,https://www.plugin-alliance.com/en/products/bx_console_amek_9099.html,https://brainworx.audio/assets/images/5/Screenshot%20Stereo%20Action%20New-46c2ae05.png,false,true,4,Active,"-"
AMEK EQ 200,/Audio Effects/EQ/Harmonics/Pan^ Stereo & Mono/Mid-Side Processing,/80's/Modern,/Analog Mastering,Brainworx,https://www.plugin-alliance.com/en/products/amek_eq_200.html,https://www.brainworx.audio/assets/images/d/Amek-EQ-200-16d7ec65-c6b3f16d.png,false,true,5,Active,"-"
Ampeg B15N,/Audio Effects/Distortion/Cabinet Sim/Amp Sim,/70's/80's,/Vibey Analog,Ampeg,https://www.plugin-alliance.com/en/products/ampeg_b15n.html,https://ampeg.com/images/Heritage-B-15_FRONTHEAD.jpg,false,-,3,Active,"-"
