name,functions,color,precision,company,productURL,photoURL,oversampling,favorite,rating,status,notes
Addictive Drums 2,/Instruments,/Vintage ('60's & Earlier)/70's/80's/Modern,/Vibey Analog,XLN Audio,https://www.xlnaudio.com/products/addictive_drums_2,XLN-Audio_Addictive-Drums-2.png,FALSE,TRUE,5,Active,"Addictive%20Drums%202%20is%20a%20software%20drum%20production%20studio%20featuring%20professionally%20recorded%20acoustic%20drums,%20live%20rhythm%20performances%20and%20high%20quality%20built%20in%20effects."
AERO AMP,/Audio Effects/Filter/Amp Sim,/Vintage ('60's & Earlier)/70's/80's/Modern,/Vibey Analog,Acoustica Audio,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/152/original/Aero_Stomp_teaser_001.png?1654007938,Acoustica-Audio_AERO-AMP.png,FALSE,-,3,Active,-
AERO STOMP,/Audio Effects/Distortion/Amp Sim,/Vintage ('60's & Earlier)/70's/80's/Modern,/Vibey Analog,Acoustica Audio,https://www.acustica-audio.com/store/products/aerovolumea,Acoustica-Audio_AERO-STOMP.png,FALSE,-,3,Active,-
AMBER COMP,/Audio Effects/Filter/Compressor/Limiter/Harmonics/Preamp Sim,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,Acoustica-Audio_AMBER-COMP.png,FALSE,TRUE,5,Active,-
AMBER EQ,/Audio Effects/EQ/Filter/Harmonics/Mid-Side Processing/Preamp Sim,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,Acoustica-Audio_AMBER-EQ.png,FALSE,TRUE,5,Active,-
AMBER PRE,/Audio Effects/Filter/Harmonics/Preamp Sim,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,Acoustica-Audio_AMBER-PRE.png,FALSE,TRUE,5,Active,-
AMBER STRIP,/Audio Effects/EQ/Filter/Compressor/Harmonics/Mid-Side Processing/Preamp Sim/Channel Strip,/80's/Modern,/Vibey Analog/Analog Mastering,Acoustica Audio,https://www.acustica-audio.com/store/products/amber,Acoustica-Audio_AMBER-STRIP.png,FALSE,TRUE,5,Active,-
AMEK 9099,/Audio Effects/EQ/Compressor/Gate & Expander/Harmonics/Pan^ Stereo & Mono/Mid-Side Processing/Preamp Sim/Channel Strip,/70's/80's/Modern,/Vibey Analog,Brainworx,https://www.plugin-alliance.com/en/products/bx_console_amek_9099.html,Brainworx_AMEK-9099.png,FALSE,TRUE,4,Active,-
AMEK EQ 200,/Audio Effects/EQ/Harmonics/Pan^ Stereo & Mono/Mid-Side Processing,/80's/Modern,/Analog Mastering,Brainworx,https://www.plugin-alliance.com/en/products/amek_eq_200.html,Brainworx_AMEK-EQ-200.png,FALSE,TRUE,5,Active,-
Ampeg B15N,/Audio Effects/Distortion/Cabinet Sim/Amp Sim,/70's/80's,/Vibey Analog,Ampeg,https://www.plugin-alliance.com/en/products/ampeg_b15n.html,Ampeg_Ampeg-B15N.png,FALSE,-,3,Active,-
